process,sample_id,source_sheet,ethanol_percent_vv_rep1,ethanol_percent_vv_rep2,ethanol_percent_vv_rep1_num,ethanol_percent_vv_rep2_num,ethanol_percent_vv_final_calc,ethanol_g_l_manual_num,ethanol_g_l_from_percent_vv,ethanol_g_l_for_model_manual,ethanol_pending,ethanol_status,ethanol_sample_type,sample_volume_ml,ethanol_measurement_datetime,ethanol_method,operator,qc_flag,notes
F2,DOE-LAB002-3,F2,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F2,DOE-LAB002-4,F2,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F2,DOE-LAB002-5,F2,2.13,,2.13,,2.13,,16.805699999999998,16.805699999999998,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-6,F2,2.6,,2.6,,2.6,,20.514,20.514,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-7,F2,2.74,,2.74,,2.74,,21.6186,21.6186,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-8,F2,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F2,DOE-LAB002-9,F2,3.21,,3.21,,3.21,,25.3269,25.3269,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-10,F2,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F2,DOE-LAB002-11,F2,3.5,,3.5,,3.5,,27.615,27.615,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-12,F2,4.22,,4.22,,4.22,,33.2958,33.2958,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-13,F2,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F2,DOE-LAB002-14,F2,4.44,,4.44,,4.44,,35.031600000000005,35.031600000000005,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-15,F2,6.63,,6.63,,6.63,,52.3107,52.3107,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-16,F2,6.75,,6.75,,6.75,,53.2575,53.2575,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-17,F2,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F2,DOE-LAB002-18,F2,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F2,DOE-LAB002-19,F2,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F2,DOE-LAB002-20,F2,8.39,,8.39,,8.39,,66.1971,66.1971,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-21,F2,8.76,,8.76,,8.76,,69.1164,69.1164,False,measured,ethanol_50mL,50.0,,,,,
F2,DOE-LAB002-22,F2,10.39,,10.39,,10.39,,81.97710000000001,81.97710000000001,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-1,F3,0.37,,0.37,,0.37,,2.9193,2.9193,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-2,F3,0.68,,0.68,,0.68,,5.3652,5.3652,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-3,F3,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F3,DOE-LAB003-4,F3,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F3,DOE-LAB003-5,F3,0.99,,0.99,,0.99,,7.8111,7.8111,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-6,F3,2.01,,2.01,,2.01,,15.858899999999998,15.858899999999998,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-7,F3,2.52,,2.52,,2.52,,19.8828,19.8828,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-8,F3,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F3,DOE-LAB003-9,F3,4.35,,4.35,,4.35,,34.32149999999999,34.32149999999999,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-10,F3,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F3,DOE-LAB003-11,F3,4.89,,4.89,,4.89,,38.5821,38.5821,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-12,F3,7.33,,7.33,,7.33,,57.8337,57.8337,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-13,F3,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F3,DOE-LAB003-14,F3,6.75,,6.75,,6.75,,53.2575,53.2575,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-15,F3,10.89,,10.89,,10.89,,85.9221,85.9221,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-16,F3,11.01,,11.01,,11.01,,86.8689,86.8689,False,measured,ethanol_50mL,50.0,,,,,
F3,DOE-LAB003-17,F3,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F3,DOE-LAB003-18,F3,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,
F3,DOE-LAB003-19,F3,11.88,,11.88,,11.88,,93.7332,93.7332,False,measured,ethanol_50mL,50.0,,,,,
