strategy,dose_design,sampling_mode,parameter,variance_ratio_vs_three_anchors,variance_ratio_vs_information_reference,watermark,candidate_only_not_for_physical_execution
three_anchor_reference,N80,independent_optimized,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9999999999999906,1.1106232811980317,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,ethyl_octanoate__effective_loss_scale,1.000000000000001,1.1566402346394808,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.9999999999999959,1.7376140179441357,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,isoamyl_acetate__formation_stationary_ug_per_g_sugar,1.0,1.0215822494627675,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,isoamyl_acetate__effective_loss_scale,1.0000000000000004,1.0157068115928491,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,ethyl_acetate__formation_growth_ug_per_g_sugar,0.899516242762255,0.9297898840112004,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9564649247143631,0.9956188887945255,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,ethyl_acetate__effective_loss_scale,0.9859210499986079,1.0001350040467638,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.7689872203330678,0.8807284959082098,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9125034909275449,1.0134476211986179,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,ethyl_octanoate__effective_loss_scale,0.9330657868953346,1.0792214306886907,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7633101494730729,1.3263384157634504,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.995475658166155,1.0169602621548097,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,isoamyl_acetate__effective_loss_scale,1.0070639725141033,1.0228817365923282,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,ethyl_acetate__formation_growth_ug_per_g_sugar,0.8301146586897153,0.8580525570599457,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.985406597524701,1.025745321430713,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,ethyl_acetate__effective_loss_scale,0.9891437112468549,1.0034041261743027,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.7378389151178174,0.8450540408887423,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9462664904263385,1.0509455944850559,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,ethyl_octanoate__effective_loss_scale,0.9481222691958224,1.096636363909572,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7662784203936411,1.331496124924086,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,isoamyl_acetate__formation_stationary_ug_per_g_sugar,1.012986647497684,1.0348491780264315,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,isoamyl_acetate__effective_loss_scale,1.0521730193240344,1.0686993027016358,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,ethyl_acetate__formation_growth_ug_per_g_sugar,0.9077610668388758,0.9383121915110109,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9562168562723502,0.995360665392705,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,ethyl_acetate__effective_loss_scale,0.9859389536980729,1.000153165862598,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.7792944778754013,0.8925334975937593,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9134262429013491,1.0144724510234964,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,ethyl_octanoate__effective_loss_scale,0.9339908855348684,1.0802914369961856,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7704755408577327,1.3387891002774917,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.9951425930516652,1.0166200087459316,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,isoamyl_acetate__effective_loss_scale,1.0070346133993728,1.0228519163395142,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,ethyl_acetate__formation_growth_ug_per_g_sugar,0.8373521481509406,0.8655336276251867,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9852868418568825,1.0256206634303626,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,ethyl_acetate__effective_loss_scale,0.9891648453754709,1.0034255649921564,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.7473688220232912,0.8559687353766012,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.946604570064912,1.0513210736025547,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,ethyl_octanoate__effective_loss_scale,0.949034070740305,1.097690990261927,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7734583112253096,1.3439720038805016,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,isoamyl_acetate__formation_stationary_ug_per_g_sugar,1.012914127801462,1.0347750931920348,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,isoamyl_acetate__effective_loss_scale,1.0520825110595202,1.0686073728408634,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,ethyl_acetate__formation_growth_ug_per_g_sugar,0.9089571293577766,0.9395485080752386,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9559701038719981,0.995103811906186,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,ethyl_acetate__effective_loss_scale,0.9859255291570691,1.0001395477809358,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.7801313593862136,0.8934919860767694,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9130871500512302,1.0140958466096666,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,ethyl_octanoate__effective_loss_scale,0.9341242157434491,1.0804456520799228,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7704540444171254,1.3387517477609565,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.9949716161678308,1.016445341796338,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,isoamyl_acetate__effective_loss_scale,1.0070422340068559,1.022859656642443,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,ethyl_acetate__formation_growth_ug_per_g_sugar,0.838344426864904,0.8665593019448962,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9851168035832334,1.025443664449335,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,ethyl_acetate__effective_loss_scale,0.9891640532340024,1.0034247614304403,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.7481197558563678,0.8568287871535938,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9463267288395971,1.0510124966692433,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,ethyl_octanoate__effective_loss_scale,0.9492556704522627,1.0979473014047616,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7734529350161271,1.3439626621040628,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,isoamyl_acetate__formation_stationary_ug_per_g_sugar,1.0126635200727532,1.0345190767848076,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,isoamyl_acetate__effective_loss_scale,1.0521061966994345,1.068631430506661,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,ethyl_acetate__formation_growth_ug_per_g_sugar,0.9764723953112281,1.009336031985951,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9603371923265764,0.9996496720230252,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,ethyl_acetate__effective_loss_scale,0.9917437831886864,1.0060416831694285,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.8847044251672184,1.0132605290415322,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9214006674051681,1.0233290325315938,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,ethyl_octanoate__effective_loss_scale,0.8839543116722738,1.0224171224631986,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7589997924030406,1.3188486788962177,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.988063814015812,1.0093884537350348,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,isoamyl_acetate__effective_loss_scale,1.0074531779413307,1.023277055195872,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,ethyl_acetate__formation_growth_ug_per_g_sugar,0.9401167957216572,0.9717568676322963,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9836595767688702,1.0239267844214854,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,ethyl_acetate__effective_loss_scale,0.9969224837504512,1.0112950446909266,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.8706302269873314,0.9971412138353353,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9449573648102864,1.0494916490978556,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,ethyl_octanoate__effective_loss_scale,0.8922380748931148,1.03199845629865,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7616753126222945,1.3234977003344863,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.9992196291858653,1.0207850364910487,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,isoamyl_acetate__effective_loss_scale,1.038117790771314,1.0544233113221435,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,ethyl_acetate__formation_growth_ug_per_g_sugar,0.9887121800684302,1.0219877524426866,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9615260552595528,1.0008872023931144,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,ethyl_acetate__effective_loss_scale,0.9921149489512713,1.0064182000025619,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.9035706203129755,1.0348681646886326,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9248687225673425,1.0271807353351838,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,ethyl_octanoate__effective_loss_scale,0.8942700368453844,1.0343487052479015,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7640310428631585,1.3275910502235064,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.987455872453215,1.008767391425975,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,isoamyl_acetate__effective_loss_scale,1.0065455976506406,1.0223552197125505,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,ethyl_acetate__formation_growth_ug_per_g_sugar,0.9519010230590025,0.9839376986704389,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.9848086399480953,1.0251228857902799,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,ethyl_acetate__effective_loss_scale,0.9973282038308431,1.0117066140090227,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.889086490058534,1.0182793503153487,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9453987563450916,1.0499818688125342,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,ethyl_octanoate__effective_loss_scale,0.9040973969275673,1.0457154253192442,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7667084377100064,1.3322433290409608,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.9983951430572773,1.0199427560971548,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,isoamyl_acetate__effective_loss_scale,1.0370056477992282,1.053293700129931,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,ethyl_acetate__formation_growth_ug_per_g_sugar,0.9901294670568814,1.0234527388897972,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.961279057567479,1.0006300935735821,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,ethyl_acetate__effective_loss_scale,0.9921079482468903,1.006411098369521,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.9047027719342817,1.0361648288830534,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.9245582115108316,1.0268358745267534,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,ethyl_octanoate__effective_loss_scale,0.8944257495811984,1.0345288088631899,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.7640185973067197,1.3275694246501775,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.9872420553929248,1.00854895971255,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,isoamyl_acetate__effective_loss_scale,1.0065541843919394,1.0223639413241772,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,ethyl_acetate__formation_growth_ug_per_g_sugar,0.9523279562233427,0.9843790004707637,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
