;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Informe de Análisis N°  PRELIMINAR;;;;Código: R3-PGCL-07;;;;;;;;;;;;;;;;;;
;27;26159-P-09;Lab-26-2059;Vino;S. blanc;San Ignacio;N/A;04/11/2026;;;;;;;;;;;;;;;;;;
;28;26159-MIX-03;Lab-26-2060;Vino;S. blanc;San Ignacio;N/A;04/12/2026;;;;;;;;;;;;;;;;;;
;29;26159-P-11;Lab-26-2061;Vino;S. blanc;San Ignacio;N/A;04/12/2026;;;;;;;;;;;;;;;;;;
;30;26159-MIX-04;Lab-26-2062;Vino;S. blanc;San Ignacio;N/A;04/12/2026;;;;;;;;;;;;;;;;;;
;31;26159-P-12;Lab-26-2063;Vino;S. blanc;San Ignacio;N/A;04/12/2026;;;;;;;;;;;;;;;;;;
;32;26159-MIX-05;Lab-26-2064;Vino;S. blanc;San Ignacio;N/A;15/04/2026;;;;;;;;;;;;;;;;;;
;33;26159-P-15;Lab-26-2065;Vino;S. blanc;San Ignacio;N/A;15/04/2026;;;;;;;;;;;;;;;;;;
;34;26210-P-01;Lab-26-2066;Vino;S. blanc;San Ignacio;N/A;17/04/2026;;;;;;;;;;;;;;;;;;
;35;26210-MIX-01;Lab-26-2067;Vino;S. blanc;San Ignacio;N/A;19/04/2026;;;;;;;;;;;;;;;;;;
;36;26210-P-05;Lab-26-2068;Vino;S. blanc;San Ignacio;N/A;19/04/2026;;;;;;;;;;;;;;;;;;
;37;26210-MIX-02;Lab-26-2069;Vino;S. blanc;San Ignacio;N/A;21/04/2026;;;;;;;;;;;;;;;;;;
;38;26210-P-08;Lab-26-2070;Vino;S. blanc;San Ignacio;N/A;21/04/2026;;;;;;;;;;;;;;;;;;
;39;26210-MIX-03;Lab-26-2071;Vino;S. blanc;San Ignacio;N/A;22/04/2026;;;;;;;;;;;;;;;;;;
;40;26210-P-10;Lab-26-2072;Vino;S. blanc;San Ignacio;N/A;22/04/2026;;;;;;;;;;;;;;;;;;
;41;26210-MIX-04;Lab-26-2073;Vino;S. blanc;San Ignacio;N/A;23/04/2026;;;;;;;;;;;;;;;;;;
;42;26210-P-12;Lab-26-2074;Vino;S. blanc;San Ignacio;N/A;23/04/2026;;;;;;;;;;;;;;;;;;
;43;26210-MIX-05;Lab-26-2075;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;44;26210-P-13;Lab-26-2076;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;45;26210-MIX-06;Lab-26-2077;Vino;S. blanc;San Ignacio;N/A;25/04/2026;;;;;;;;;;;;;;;;;;
;46;26210-P-14;Lab-26-2078;Vino;S. blanc;San Ignacio;N/A;25/04/2026;;;;;;;;;;;;;;;;;;
;47;26211-P-01;Lab-26-2079;Vino;S. blanc;San Ignacio;N/A;17/04/2026;;;;;;;;;;;;;;;;;;
;48;26211-MIX-01;Lab-26-2080;Vino;S. blanc;San Ignacio;N/A;19/04/2026;;;;;;;;;;;;;;;;;;
;49;26211-P-05;Lab-26-2081;Vino;S. blanc;San Ignacio;N/A;19/04/2026;;;;;;;;;;;;;;;;;;
;50;26211-MIX-02;Lab-26-2082;Vino;S. blanc;San Ignacio;N/A;21/04/2026;;;;;;;;;;;;;;;;;;
;51;26211-P-08;Lab-26-2083;Vino;S. blanc;San Ignacio;N/A;21/04/2026;;;;;;;;;;;;;;;;;;
;52;26211-MIX-03;Lab-26-2084;Vino;S. blanc;San Ignacio;N/A;22/04/2026;;;;;;;;;;;;;;;;;;
;53;26211-P-10;Lab-26-2085;Vino;S. blanc;San Ignacio;N/A;22/04/2026;;;;;;;;;;;;;;;;;;
;54;26211-MIX-04;Lab-26-2086;Vino;S. blanc;San Ignacio;N/A;23/04/2026;;;;;;;;;;;;;;;;;;
;55;26211-P-12;Lab-26-2087;Vino;S. blanc;San Ignacio;N/A;23/04/2026;;;;;;;;;;;;;;;;;;
;56;26211-MIX-05;Lab-26-2088;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;57;26211-P-13;Lab-26-2089;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;58;26211-MIX-06;Lab-26-2090;Vino;S. blanc;San Ignacio;N/A;25/04/2026;;;;;;;;;;;;;;;;;;
;59;26211-P-14;Lab-26-2091;Vino;S. blanc;San Ignacio;N/A;25/04/2026;;;;;;;;;;;;;;;;;;
;60;26212-P-01;Lab-26-2092;Vino;S. blanc;San Ignacio;N/A;17/04/2026;;;;;;;;;;;;;;;;;;
;61;26212-MIX-01;Lab-26-2093;Vino;S. blanc;San Ignacio;N/A;19/04/2026;;;;;;;;;;;;;;;;;;
;62;26212-P-05;Lab-26-2094;Vino;S. blanc;San Ignacio;N/A;19/04/2026;;;;;;;;;;;;;;;;;;
;63;26212-MIX-02;Lab-26-2095;Vino;S. blanc;San Ignacio;N/A;20/04/2026;;;;;;;;;;;;;;;;;;
;64;26212-P-06;Lab-26-2096;Vino;S. blanc;San Ignacio;N/A;20/04/2026;;;;;;;;;;;;;;;;;;
;65;26212-MIX-03;Lab-26-2097;Vino;S. blanc;San Ignacio;N/A;21/04/2026;;;;;;;;;;;;;;;;;;
;66;26212-P-08;Lab-26-2098;Vino;S. blanc;San Ignacio;N/A;21/04/2026;;;;;;;;;;;;;;;;;;
;67;26212-MIX-04;Lab-26-2099;Vino;S. blanc;San Ignacio;N/A;23/04/2026;;;;;;;;;;;;;;;;;;
;68;26212-P-11;Lab-26-2100;Vino;S. blanc;San Ignacio;N/A;23/04/2026;;;;;;;;;;;;;;;;;;
;69;26212-MIX-05;Lab-26-2101;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;70;26212-P-12;Lab-26-2102;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;71;26212-MIX-06;Lab-26-2103;Vino;S. blanc;San Ignacio;N/A;25/04/2026;;;;;;;;;;;;;;;;;;
;72;26212-P-13;Lab-26-2104;Vino;S. blanc;San Ignacio;N/A;25/04/2026;;;;;;;;;;;;;;;;;;
;73;ING26-LAB004-L-01;Lab-26-2105;Vino;S. blanc;San Ignacio;N/A;04/06/2026;;;;;;;;;;;;;;;;;;
;74;ING26-LAB004-L-13;Lab-26-2106;Vino;S. blanc;San Ignacio;N/A;13/04/2026;;;;;;;;;;;;;;;;;;
;75;ING26-LAB005-L-01;Lab-26-2107;Vino;S. blanc;San Ignacio;N/A;04/06/2026;;;;;;;;;;;;;;;;;;
;76;ING26-LAB005-L-13;Lab-26-2108;Vino;S. blanc;San Ignacio;N/A;13/04/2026;;;;;;;;;;;;;;;;;;
;77;ING26-LAB006-L-01;Lab-26-2109;Vino;S. blanc;San Ignacio;N/A;04/06/2026;;;;;;;;;;;;;;;;;;
;78;ING26-LAB006-L-15;Lab-26-2110;Vino;S. blanc;San Ignacio;N/A;15/04/2026;;;;;;;;;;;;;;;;;;
;79;ING26-LAB007-L-01;Lab-26-2111;Vino;S. blanc;San Ignacio;N/A;17/04/2026;;;;;;;;;;;;;;;;;;
;80;ING26-LAB007-L-13;Lab-26-2112;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;81;ING26-LAB008-L-01;Lab-26-2113;Vino;S. blanc;San Ignacio;N/A;17/04/2026;;;;;;;;;;;;;;;;;;
;82;ING26-LAB008-L-13;Lab-26-2114;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;83;ING26-LAB009-L-01;Lab-26-2115;Vino;S. blanc;San Ignacio;N/A;17/04/2026;;;;;;;;;;;;;;;;;;
;84;ING26-LAB009-L-12;Lab-26-2116;Vino;S. blanc;San Ignacio;N/A;24/04/2026;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;RESULTADOS ;;;;;;;;;;;;;;;;;;;;;;;;;
;n°;Código Lab CII;Etil Acetato;Isoamil Acetato;Hexil Acetato;Octanoato de Etilo;Decanoato de Etilo;Feniletil Acetato;;;;;;;;;;;;;;;;;;
;;;µg/L;µg/L;µg/L;µg/L;µg/L;µg/L;;;;;;;;;;;;;;;;;;
;1;Lab-26-2033;1118,77;NQ;0,84;3,99;2,44;NQ;;;;;;;;;;;;;;;;;;
;2;Lab-26-2034;NQ;NQ;0,02;0,13;0,01;NQ;;;;;;;;;;;;;;;;;;
;3;Lab-26-2035;4682,59;358,10;155,61;38,38;16,51;31,99;;;;;;;;;;;;;;;;;;
;4;Lab-26-2036;NQ;NQ;11,01;2,48;0,02;NQ;;;;;;;;;;;;;;;;;;
;5;Lab-26-2037;14079,95;1605,53;296,49;97,32;19,75;113,40;;;;;;;;;;;;;;;;;;
;6;Lab-26-2038;NQ;33,87;31,84;15,36;0,12;NQ;;;;;;;;;;;;;;;;;;
;7;Lab-26-2039;15234,16;1713,24;233,42;77,12;14,99;119,44;;;;;;;;;;;;;;;;;;
;8;Lab-26-2040;NQ;63,10;38,31;22,87;0,20;NQ;;;;;;;;;;;;;;;;;;
;9;Lab-26-2041;15763,75;1763,79;237,80;110,04;22,97;129,19;;;;;;;;;;;;;;;;;;
;10;Lab-26-2042;NQ;71,82;41,63;26,11;0,32;NQ;;;;;;;;;;;;;;;;;;
;11;Lab-26-2043;15886,10;1705,03;213,45;93,08;16,93;127,68;;;;;;;;;;;;;;;;;;
;12;Lab-26-2044;1185,36;NQ;0,97;3,29;1,25;NQ;;;;;;;;;;;;;;;;;;
;13;Lab-26-2045;NQ;NQ;2,28;0,23;0,01;NQ;;;;;;;;;;;;;;;;;;
;14;Lab-26-2046;6519,30;499,74;202,96;49,73;15,65;42,52;;;;;;;;;;;;;;;;;;
;15;Lab-26-2047;NQ;33,49;47,07;11,65;0,03;NQ;;;;;;;;;;;;;;;;;;
;16;Lab-26-2048;12408,38;1480,86;279,94;75,92;12,03;97,92;;;;;;;;;;;;;;;;;;
;17;Lab-26-2049;NQ;63,21;40,67;13,92;0,06;NQ;;;;;;;;;;;;;;;;;;
;18;Lab-26-2050;14638,05;1682,35;256,98;79,18;12,16;111,11;;;;;;;;;;;;;;;;;;
;19;Lab-26-2051;18,00;113,24;50,83;24,25;0,15;NQ;;;;;;;;;;;;;;;;;;
;20;Lab-26-2052;14246,93;1544,60;227,19;91,21;16,29;106,44;;;;;;;;;;;;;;;;;;
;21;Lab-26-2053;NQ;NQ;4,86;0,52;0,00;NQ;;;;;;;;;;;;;;;;;;
;22;Lab-26-2054;12116,44;1345,70;175,77;64,37;8,53;89,44;;;;;;;;;;;;;;;;;;
;23;Lab-26-2055;1452,75;NQ;1,44;3,67;1,12;NQ;;;;;;;;;;;;;;;;;;
;24;Lab-26-2056;NQ;NQ;NQ;0,12;0,00;NQ;;;;;;;;;;;;;;;;;;
;25;Lab-26-2057;3022,12;121,10;71,95;13,24;1,44;3,63;;;;;;;;;;;;;;;;;;
;26;Lab-26-2058;NQ;NQ;0,02;0,12;0,00;NQ;;;;;;;;;;;;;;;;;;
;27;Lab-26-2059;10265,94;997,47;181,44;60,56;10,03;81,58;;;;;;;;;;;;;;;;;;
;28;Lab-26-2060;NQ;NQ;0,04;0,12;0,00;NQ;;;;;;;;;;;;;;;;;;
;29;Lab-26-2061;11552,93;1145,18;187,85;67,24;11,28;83,22;;;;;;;;;;;;;;;;;;
;30;Lab-26-2062;NQ;NQ;0,05;0,11;0,00;NQ;;;;;;;;;;;;;;;;;;
;31;Lab-26-2063;12029,70;1214,24;202,74;82,67;15,82;85,97;;;;;;;;;;;;;;;;;;
;32;Lab-26-2064;NQ;NQ;0,60;0,17;0,00;NQ;;;;;;;;;;;;;;;;;;
;33;Lab-26-2065;12083,54;1159,96;163,30;84,70;13,04;90,22;;;;;;;;;;;;;;;;;;
;34;Lab-26-2066;1197,20;NQ;1,15;4,08;0,79;NQ;;;;;;;;;;;;;;;;;;
;35;Lab-26-2067;NQ;NQ;NQ;0,12;0,00;NQ;;;;;;;;;;;;;;;;;;
;36;Lab-26-2068;6858,49;531,24;128,40;65,15;17,05;46,42;;;;;;;;;;;;;;;;;;
;37;Lab-26-2069;NQ;NQ;4,93;0,67;0,00;NQ;;;;;;;;;;;;;;;;;;
;38;Lab-26-2070;9414,92;880,48;164,97;67,40;14,22;51,22;;;;;;;;;;;;;;;;;;
;39;Lab-26-2071;NQ;11,72;18,66;5,01;0,02;NQ;;;;;;;;;;;;;;;;;;
;40;Lab-26-2072;9005,88;874,53;144,17;61,13;12,41;68,72;;;;;;;;;;;;;;;;;;
;41;Lab-26-2073;NQ;44,14;30,35;18,34;0,14;NQ;;;;;;;;;;;;;;;;;;
;42;Lab-26-2074;10051,88;855,28;120,10;72,87;15,66;83,31;;;;;;;;;;;;;;;;;;
;43;Lab-26-2075;NQ;57,37;37,92;21,36;0,20;NQ;;;;;;;;;;;;;;;;;;
;44;Lab-26-2076;11336,32;1002,62;145,47;90,03;17,32;83,25;;;;;;;;;;;;;;;;;;
;45;Lab-26-2077;NQ;27,48;22,62;10,48;0,06;NQ;;;;;;;;;;;;;;;;;;
;46;Lab-26-2078;9978,25;913,78;129,27;71,77;13,52;66,55;;;;;;;;;;;;;;;;;;
;47;Lab-26-2079;882,79;NQ;0,89;2,82;0,48;NQ;;;;;;;;;;;;;;;;;;
;48;Lab-26-2080;NQ;NQ;NQ;0,12;0,00;NQ;;;;;;;;;;;;;;;;;;
;49;Lab-26-2081;2789,96;137,58;71,49;25,78;6,11;NQ;;;;;;;;;;;;;;;;;;
;50;Lab-26-2082;NQ;NQ;1,97;0,22;0,00;NQ;;;;;;;;;;;;;;;;;;
;51;Lab-26-2083;6618,38;557,34;108,52;51,75;11,62;39,49;;;;;;;;;;;;;;;;;;
;52;Lab-26-2084;NQ;14,51;20,84;6,47;0,03;NQ;;;;;;;;;;;;;;;;;;
;53;Lab-26-2085;6235,96;543,46;88,11;42,64;10,38;52,36;;;;;;;;;;;;;;;;;;
;54;Lab-26-2086;18,77;110,41;70,30;39,75;0,36;NQ;;;;;;;;;;;;;;;;;;
;55;Lab-26-2087;27465,59;2731,61;420,71;226,22;69,24;115,00;;;;;;;;;;;;;;;;;;
;56;Lab-26-2088;NQ;33,49;19,79;6,35;0,02;NQ;;;;;;;;;;;;;;;;;;
;57;Lab-26-2089;10401,17;707,18;94,16;74,29;17,09;61,93;;;;;;;;;;;;;;;;;;
;58;Lab-26-2090;NQ;NQ;4,44;0,52;0,00;NQ;;;;;;;;;;;;;;;;;;
;59;Lab-26-2091;11727,87;859,63;118,17;96,54;22,74;73,45;;;;;;;;;;;;;;;;;;
;60;Lab-26-2092;787,87;NQ;0,90;2,55;0,28;NQ;;;;;;;;;;;;;;;;;;
;61;Lab-26-2093;NQ;NQ;0,23;0,13;0,00;NQ;;;;;;;;;;;;;;;;;;
;62;Lab-26-2094;2521,42;159,61;78,85;26,78;7,69;8,68;;;;;;;;;;;;;;;;;;
;63;Lab-26-2095;NQ;NQ;4,70;0,64;0,01;NQ;;;;;;;;;;;;;;;;;;
;64;Lab-26-2096;8156,67;863,46;164,96;78,31;22,49;56,18;;;;;;;;;;;;;;;;;;
;65;Lab-26-2097;NQ;NQ;2,65;0,39;0,01;NQ;;;;;;;;;;;;;;;;;;
;66;Lab-26-2098;12388,41;1115,21;161,88;89,81;23,64;81,80;;;;;;;;;;;;;;;;;;
;67;Lab-26-2099;NQ;NQ;8,64;2,25;0,01;NQ;;;;;;;;;;;;;;;;;;
;68;Lab-26-2100;10672,11;976,26;129,60;85,86;20,77;70,87;;;;;;;;;;;;;;;;;;
;69;Lab-26-2101;NQ;NQ;0,20;0,14;0,01;NQ;;;;;;;;;;;;;;;;;;
;70;Lab-26-2102;10439,63;961,21;127,25;92,61;18,74;70,12;;;;;;;;;;;;;;;;;;
;71;Lab-26-2103;NQ;NQ;2,31;0,44;0,01;NQ;;;;;;;;;;;;;;;;;;
;72;Lab-26-2104;8922,53;870,37;113,62;74,42;17,16;64,61;;;;;;;;;;;;;;;;;;
;73;Lab-26-2105;631,70;NQ;0,38;1,82;0,22;NQ;;;;;;;;;;;;;;;;;;
;74;Lab-26-2106;9942,45;492,74;39,06;42,27;5,78;38,86;;;;;;;;;;;;;;;;;;
;75;Lab-26-2107;1015,65;NQ;0,51;2,76;0,39;NQ;;;;;;;;;;;;;;;;;;
;76;Lab-26-2108;9408,09;406,37;29,99;37,58;4,76;37,05;;;;;;;;;;;;;;;;;;
;77;Lab-26-2109;708,40;NQ;0,23;1,85;0,18;NQ;;;;;;;;;;;;;;;;;;
;78;Lab-26-2110;9710,22;466,16;43,05;47,53;7,88;40,89;;;;;;;;;;;;;;;;;;
;79;Lab-26-2111;992,04;NQ;0,51;2,76;0,18;NQ;;;;;;;;;;;;;;;;;;
;80;Lab-26-2112;7765,11;465,65;42,41;41,22;9,08;50,23;;;;;;;;;;;;;;;;;;
;81;Lab-26-2113;1119,54;NQ;0,65;2,99;0,23;NQ;;;;;;;;;;;;;;;;;;
;82;Lab-26-2114;9758,07;523,27;48,21;55,11;11,13;52,34;;;;;;;;;;;;;;;;;;
;83;Lab-26-2115;986,44;NQ;0,50;2,40;0,14;NQ;;;;;;;;;;;;;;;;;;
;84;Lab-26-2116;10610,54;676,34;55,87;48,33;10,51;49,56;;;;;;;;;;;;;;;;;;
;;LoQ;187,50;5,00;0,0125;0,50;0,0125;5,00;;;;;;;;;;;;;;;;;;
;* Muestras con datos en color rojo, se encuentran bajo el límite de cuantificación del analito, LoQ;;;;;;;;;;;;;;;;;;;;;;;;;
;NQ: No cuantificable;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;EMISIÓN DE INFORME;;;;;;;;;;;;;;;;;;;;;;;;;
;Realizado por / cargo;;;Mónica Rodríguez Campos / Analista Químico Especialista;;;;;;;;;;;;;;;;;;;;;;
;Revisado por / cargo;;;Paulina Arraño Salinas / Jefe de Laboratorio;;;;;;;;;;;;;;;;;;;;;;
;Fecha emisión informe;;;23/06/2026;;;;;;;;;;;;;;;;;;;;;;
;Observaciones;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Firma Jefe Laboratorio;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;DECLARACIÓN DE RESULTADOS;;;;;;;;;;;;;;;;;;;;;;;;;
;"-La información contenida en el presente informe constituye el resultado de un análisis específico acotado únicamente a la muestra recibida en el Laboratorio, por lo que no asegura representatividad del resultado. 
-El Laboratorio CII no se responsabiliza por la información proporcionada por el solicitante.
-El Laboratorio CII no se responsabiliza del muestreo, por lo tanto, los resultados informados aplican a la muestra como se recibió. 
-Queda prohibida la reproducción parcial del informe sin la autorización por escrito por parte del Laboratorio CII. 
-El valor de incertidumbre por analito puede ser entregado al solicitante de ser requerido.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;"CENTRO DE INVESTIGACIÓN E INNOVACIÓN - VIÑA CONCHA Y TORO 
FUNDO POCOA S/N, KM 10 RUTA K-650, PENCAHUE, TALCA, REGIÓN DEL MAULE";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
